model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
decision_tree,0.9495158809157542,0.015915301222415204,0.9452601979184166,0.02267454157414711,0.9662646897979876,0.02065464550829716,0.9580443356453149,0.002549639580213663,0.9324760601915184,0.04296167398213172,0.9620672359654213,0.0115216722405472,0.9640541108229274,0.010735597940706075,0.9713487453047775,0.009410191773345393
extra_trees,0.9697131481313909,0.013793450688732545,0.963310653514772,0.01734290848748138,0.9724287442404143,0.013892094380528703,0.9825173398612812,0.008234408437036852,0.9441039671682627,0.028879574162749708,0.9774235764413317,0.01017966458323818,0.9950224798201613,0.003197866896397723,0.9973984308075385,0.0018849210440659559
hist_gradient_boosting,0.9759297801103972,0.010728784851126615,0.9702839977280181,0.01578390859906778,0.9772254423702641,0.01619019808615697,0.9871617027063783,0.0096030605170309,0.9534062927496579,0.03386617092731428,0.98207301541765,0.007871749129350618,0.9958979890951569,0.0019815856084629178,0.9979200333702185,0.0009993793814906413
logistic_regression,0.968150695261364,0.012369104465498184,0.9626916984664122,0.017092554089275715,0.9735809319945877,0.01609447083417766,0.9790085679314565,0.008865770534182305,0.9463748290013679,0.033524804043100535,0.976215730493502,0.009089644265828846,0.9890135641705564,0.003697453872564614,0.9942388550929818,0.0025246903827212163
small_mlp,0.9131179682080053,0.1356419262935749,0.8778079775361796,0.20798251422562425,0.9187443902028647,0.13959418261776918,0.9836597307221542,0.01266642971695908,0.7719562243502052,0.42523357248430965,0.944607757740183,0.07983555664414785,0.9903505097540615,0.006234524334906357,0.9942833402474808,0.004681808884647598
