model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
decision_tree,0.9010631644777986,0.01727582494399018,0.9098053223022552,0.014412539243644109,0.9778194231602985,0.020743759329241038,0.8460081053698076,0.040436059018400645,0.973602539234703,0.026192506727347447,0.9064184965116417,0.018277418622094404,0.9370311385339694,0.023276971774447767,0.9382308889274654,0.019191392481086374
extra_trees,0.9764820117836805,0.012292567940932937,0.9740690732297151,0.015126543502152175,0.9686787519014356,0.02591987241046978,0.9914285714285714,0.007824607964359485,0.9567095750308587,0.03624578950693105,0.9797040136929608,0.010414404221779009,0.9980326951837475,0.0024605985797581365,0.9982953946185626,0.002357508353769003
hist_gradient_boosting,0.9772950199137618,0.010560689767596332,0.977064526197292,0.011608970051074384,0.9816724525712479,0.01666490282351781,0.9786220871327254,0.01121403662938985,0.9755069652618585,0.02273110682504123,0.9800488759691197,0.00918666568787397,0.9976031791887376,0.002707412175884918,0.9980195747991452,0.0024421525119470277
logistic_regression,0.9594713801389027,0.01784740471032915,0.9588968082158521,0.018395749682569896,0.966044715604124,0.021808520901955758,0.9629179331306992,0.02164573398869767,0.9548756833010051,0.02922883962008527,0.9642944513493227,0.015730432434852292,0.9933029203307251,0.0031727682686700904,0.9948370312843334,0.002484689138026202
small_mlp,0.8849478292353773,0.17636157871462957,0.8690867068040407,0.2072265494988137,0.8825746135883634,0.1764890228174654,0.9814285714285713,0.01083267920578799,0.7567448421795098,0.4248878617183085,0.920042329395091,0.10890377053233165,0.9942133058628329,0.005138107212615525,0.9956630587918532,0.004289463029377378
