feature,importance_mean,importance_std
checksum_zero,0.17180258956950148,0.008781266159057126
directory_presence_pattern,0.08718568890128316,0.006543162622163881
user32_minus_crt_import_count,0.04704400981054636,0.004348571138471485
section_entropy_max,0.03534554109953915,0.00421636240824453
section_max_raw_size,0.02092436869634857,0.0025662563988229177
standard_section_name_count,0.020260708833424502,0.003208658702083148
timestamp_implausible,0.014999338574682082,0.0021164455709178406
nonstandard_section_name_count,0.011527391946342329,0.0032557394360143896
embedded_payload_ratio,0.008287435779176892,0.0024058837237612915
entry_section_rwx,0.003544837486011765,0.0010742983913236167
