model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
decision_tree,0.9448315386239556,0.012434166186422898,0.939360845113239,0.011845904795820898,0.96142377222705,0.010123547838359222,0.9556847545219638,0.018756599473708006,0.9230369357045143,0.021338568422713394,0.9584355669818414,0.009614074999643733,0.9645416255274608,0.014580846612587682,0.9727905519513227,0.012462503069172747
extra_trees,0.9658160649111694,0.008391015803832634,0.9551163990688074,0.010178217916877693,0.9625592682714105,0.008240960439180012,0.9871685026519789,0.007624911840001157,0.9230642954856361,0.01770280381927492,0.9746880427505122,0.0061949259542589275,0.9926211390308877,0.002766346839480897,0.9956699685054193,0.0019292788270212804
hist_gradient_boosting,0.9712605194100081,0.010825712968528961,0.965048039615683,0.013580397584055513,0.973578102472359,0.011663125203965974,0.9836665306677546,0.008690060444022183,0.9464295485636114,0.02403354717998976,0.9785625291494471,0.00806213619660037,0.9941939180765622,0.0017241016020439108,0.9968690332072161,0.0010839313403375951
logistic_regression,0.9510421379663982,0.007633463725544969,0.9463546691626468,0.0049580564003705065,0.9660630967935685,0.004277572790181883,0.9603427172582618,0.014639254006340564,0.9323666210670314,0.010075218502099982,0.9631273949815583,0.0061566490137704155,0.982622469252804,0.0044000794771313235,0.9903629374057605,0.0035568589267502377
small_mlp,0.9572557536271228,0.01847611410816239,0.951016031871745,0.01826851704729198,0.9663915970276931,0.012324066779079677,0.9696654426764585,0.02283057558196328,0.9323666210670314,0.025344484814340266,0.9679131890169996,0.014262691033714645,0.9888643942011255,0.004185334065441149,0.9937615242215159,0.0030746930751537936
