feature,importance_mean,importance_std
section_entropy_max,0.17253302253302252,0.009101528540061877
checksum_zero,0.07935120435120437,0.006759376458403521
directory_presence_pattern,0.06567599067599067,0.00628569737046482
user32_minus_crt_import_count,0.03263403263403263,0.003926545577604453
section_max_raw_size,0.02566045066045067,0.0028369175167457772
timestamp_implausible,0.018686868686868707,0.0035699782463590106
embedded_payload_ratio,0.018531468531468535,0.0036683983322806073
nonstandard_section_name_count,0.01153846153846153,0.002903634334274261
standard_section_name_count,0.010450660450660447,0.002490345067682574
entry_section_rwx,0.008391608391608388,0.0023241936303257365
